,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,Sinnamary,5.38,-52.95,78.87,84,100,13.02,GF,1587953177
325,Paphos,34.77,32.42,51.8,87,33,4.7,CY,1587953215
326,Hamilton,39.18,-84.53,50.0,87,1,4.47,US,1587953216
327,Santa Rita,-7.11,-34.98,77.0,94,20,4.7,BR,1587953216
328,Santa Rosa,14.31,121.11,93.0,55,20,2.24,PH,1587953216
329,Esperance,-33.87,121.9,66.2,59,53,11.41,AU,1587953094
330,Pandan,14.05,124.17,83.66,72,88,11.9,PH,1587953217
331,Mananara,-16.17,49.77,77.43,82,64,4.68,MG,1587953217
332,Kruisfontein,-34.0,24.73,62.44,77,100,13.42,ZA,1587953218
333,Marawi,8.0,124.29,82.99,83,88,7.0,PH,1587953218
334,Saurimo,-9.66,20.39,63.1,59,4,4.03,AO,1587953219
335,Mitú,1.2,-70.17,73.96,89,100,0.72,CO,1587953219
336,Assiut,27.18,31.18,62.6,51,0,9.17,EG,1587953219
337,Lumberton,34.62,-79.01,69.8,42,40,6.93,US,1587953220
338,Brae,60.4,-1.35,41.0,80,37,13.87,GB,1587953220
339,Balikpapan,-1.27,116.83,87.21,55,92,2.26,ID,1587953220
340,Pevek,69.7,170.31,22.59,93,32,12.77,RU,1587953221
341,Salalah,17.02,54.09,82.4,78,20,2.24,OM,1587953221
342,Banda Aceh,5.56,95.32,84.83,71,86,5.59,ID,1587952924
343,Barnaul,53.36,83.76,50.0,46,1,4.47,RU,1587953221
344,Nālūt,30.33,10.85,66.18,45,0,6.67,LY,1587953222
345,Buraidah,26.33,43.98,68.0,42,0,9.17,SA,1587953222
346,Kahului,20.89,-156.47,82.4,54,40,23.04,US,1587953222
347,Capão da Canoa,-29.75,-50.01,68.74,88,91,10.65,BR,1587953223
348,Fortuna,40.6,-124.16,60.01,54,1,10.29,US,1587953223
349,Sarangani,5.4,125.46,80.8,81,100,18.19,PH,1587953224
350,Elbistan,38.21,37.2,44.47,47,2,1.83,TR,1587953225
351,Nizwá,22.93,57.53,84.56,20,0,1.54,OM,1587953226
352,Rokytnice nad Jizerou,50.73,15.43,44.01,86,33,3.13,CZ,1587953226
353,Kieta,-6.22,155.63,84.65,71,29,3.53,PG,1587953227
354,Kupang,-10.17,123.58,89.6,55,20,10.29,ID,1587953090
355,Banjar,-8.19,114.97,84.2,94,20,8.05,ID,1587953228
356,Nishihara,26.18,127.76,69.8,88,75,6.93,JP,1587953228
357,Planá,49.87,12.74,41.0,65,0,2.24,CZ,1587953228
358,Quebo,11.33,-14.93,74.93,61,100,3.78,GW,1587953229
359,Kosh-Agach,50.0,88.67,53.69,17,100,0.74,RU,1587953230
360,Kavieng,-2.57,150.8,83.84,76,21,10.33,PG,1587953230
361,Noumea,-22.28,166.46,80.01,65,90,16.11,NC,1587953124
362,Sur,22.57,59.53,90.88,33,0,10.42,OM,1587953231
363,Quelimane,-17.88,36.89,70.77,91,8,3.0,MZ,1587953231
364,Belaya Gora,68.53,146.42,32.54,98,30,5.66,RU,1587953231
365,Bom Jesus da Lapa,-13.26,-43.42,71.6,83,8,6.93,BR,1587953232
366,Nabire,-3.37,135.48,83.5,72,100,2.82,ID,1587953208
367,Fort Nelson,58.81,-122.7,37.4,51,75,4.7,CA,1587953232
368,Atbasar,51.8,68.33,52.72,58,100,10.65,KZ,1587953233
